Index,Take_Action,Priority,Time,Team,Add_Player,Player,Comment,Round/Pick,Pick,Round
17,Reject,1,08/07/20 11:51 pm ET,Up a Creek w/o a Trout,Renato Nunez DH | BAL,Khris Davis DH | OAK,First choice,21 / 163,163,21
18,Approved,2,08/07/20 11:52 pm ET,Up a Creek w/o a Trout,Dominic Smith 1B | NYM,Khris Davis DH | OAK,Second choice,21 / 163,163,21
19,Approved,2,08/05/20 12:49 pm ET,Danimal,Spencer Howard SP | PHI,Sandy Alcantara SP | MIA,,22 / 173,173,22
20,Reject,3,08/08/20 04:58 pm ET,Danimal,Tyler Mahle SP | CIN,Sandy Alcantara SP | MIA,,22 / 173,173,22
21,Reject,5,08/08/20 05:23 pm ET,BK Cyclones,Nick Markakis RF | ATL,Michael Wacha SP | NYM,,23 / 178,178,23
22,Approved,8,08/08/20 10:10 pm ET,Danimal,Trevor Rosenthal RP | KC ,Nathan Eovaldi SP | BOS,,23 / 180,180,23
23,Reject,9,08/08/20 10:15 pm ET,Danimal,Zach Plesac SP | CLE ,Nathan Eovaldi SP | BOS,,23 / 180,180,23
24,Approved,5,08/08/20 05:13 pm ET,Danimal,Isiah Kiner-Falefa C | TEX,Wilson Ramos C | NYM,,24 / 189,189,24
25,Approved,9,08/08/20 05:37 pm ET,BK Cyclones,Zach Eflin SP | PHI,Johnny Cueto SP | SF,,24 / 191,191,24
26,Reject,10,08/08/20 05:38 pm ET,BK Cyclones,David Peterson SP | NYM ,Johnny Cueto SP | SF,,24 / 191,191,24
27,Approved,1,08/08/20 12:06 pm ET,Aces and Eighth Hitters,Jairo Diaz RP | COL,Josh James RP | HOU,,24 / 192,192,24
28,Reject,3,08/08/20 05:05 pm ET,BK Cyclones,Renato Nunez DH | BAL,Joey Votto 1B | CIN,,25 / 194,194,25
29,Approved,9,08/08/20 09:25 pm ET,Up a Creek w/o a Trout,David Fletcher 3B | LAA,Brandon Lowe 2B | TB,First choice,25 / 195,195,25
30,Approved,8,08/08/20 12:55 pm ET,Swole Daddy,Starlin Castro 2B | WAS,Yoshitomo Tsutsugo LF | TB,,25 / 197,197,25
31,Reject,9,08/08/20 12:56 pm ET,Swole Daddy,Kolten Wong 2B | STL,Yoshitomo Tsutsugo LF | TB,,25 / 197,197,25
32,Reject,10,08/08/20 12:57 pm ET,Swole Daddy,Asdrubal Cabrera 3B | WAS,Yoshitomo Tsutsugo LF | TB,,25 / 197,197,25
33,Reject,11,08/08/20 12:58 pm ET,Swole Daddy,Carter Kieboom SS | WAS,Yoshitomo Tsutsugo LF | TB,,25 / 197,197,25
34,Approved,4,08/08/20 04:58 pm ET,Danimal,Tyler Mahle SP | CIN,Jose Leclerc RP | TEX,,26 / 205,205,26
35,Reject,6,08/08/20 05:48 pm ET,Danimal,Trevor Rosenthal RP | KC ,Jose Leclerc RP | TEX,,26 / 205,205,26
36,Reject,7,08/08/20 05:18 pm ET,Danimal,Carl Edwards RP | SEA,Jose Leclerc RP | TEX,,26 / 205,205,26
37,Approved,3,08/08/20 12:03 am ET,Up a Creek w/o a Trout,Zach Plesac SP | CLE ,Steven Matz SP | NYM,First choice,27 / 211,211,27
38,Reject,4,08/08/20 12:04 am ET,Up a Creek w/o a Trout,Griffin Canning SP | LAA,Steven Matz SP | NYM,Second choice,27 / 211,211,27
39,Reject,5,08/08/20 12:06 am ET,Up a Creek w/o a Trout,Chris Bassitt SP | OAK ,Steven Matz SP | NYM,Third choice,27 / 211,211,27
40,Reject,6,08/08/20 12:14 am ET,Up a Creek w/o a Trout,David Peterson SP | NYM ,Steven Matz SP | NYM,Fourth choice,27 / 211,211,27
41,Reject,7,08/08/20 12:07 am ET,Up a Creek w/o a Trout,Marco Gonzales SP | SEA,Steven Matz SP | NYM,Fifth choice,27 / 211,211,27
42,Reject,8,08/08/20 12:16 am ET,Up a Creek w/o a Trout,Kyle Gibson SP | TEX,Steven Matz SP | NYM,Sixth choice,27 / 211,211,27
43,Approved,10,08/08/20 10:17 pm ET,Danimal,Chris Taylor LF | LAD,Yonny Chirinos SP | TB,,27 / 212,212,27
44,Reject,11,08/08/20 10:19 pm ET,Danimal,Howie Kendrick 1B | WAS,Yonny Chirinos SP | TB,,27 / 212,212,27
45,Approved,12,08/08/20 12:58 pm ET,Swole Daddy,Griffin Canning SP | LAA,Paul DeJong SS | STL,,28 / 220,220,28
46,Reject,13,08/08/20 12:59 pm ET,Swole Daddy,Framber Valdez RP | HOU ,Paul DeJong SS | STL,,28 / 220,220,28
47,Reject,14,08/08/20 01:00 pm ET,Swole Daddy,Zach Plesac SP | CLE ,Paul DeJong SS | STL,,28 / 220,220,28
48,Reject,15,08/08/20 01:00 pm ET,Swole Daddy,Carter Kieboom SS | WAS,Paul DeJong SS | STL,,28 / 220,220,28
49,Approved,2,08/02/20 10:55 pm ET,BK Cyclones,Teoscar Hernandez CF | TOR,Francisco Mejia C | SD,,28 / 223,223,28
50,Reject,12,08/09/20 01:11 am ET,BK Cyclones,Leury Garcia CF | CHW,Francisco Mejia C | SD,,28 / 223,223,28
51,Approved,11,08/08/20 05:39 pm ET,BK Cyclones,David Peterson SP | NYM ,Jordan Montgomery SP | NYY,,29 / 226,226,29
52,Approved,13,08/09/20 01:13 am ET,BK Cyclones,Leury Garcia CF | CHW,Brandon Nimmo CF | NYM,,30 / 239,239,30
